model_name,sample_id,feature,weight,absolute_weight,rank,predicted_class,predicted_probability,true_label
Logistic_Regression,0,cat__cholesterol_3 <= 0.00,-0.21196355213296253,0.21196355213296253,1,1,0.5844804275401649,1
Logistic_Regression,0,-0.06 < num__ap_hi <= 0.09,0.10188532763152983,0.10188532763152983,2,1,0.5844804275401649,1
Logistic_Regression,0,cat__cholesterol_2 <= 0.00,-0.07768866086084222,0.07768866086084222,3,1,0.5844804275401649,1
Logistic_Regression,0,num__weight > 0.54,0.06807625935018334,0.06807625935018334,4,1,0.5844804275401649,1
Logistic_Regression,0,cat__gluc_3 <= 0.00,0.06216290521856525,0.06216290521856525,5,1,0.5844804275401649,1
Logistic_Regression,0,cat__smoke_1 > 0.00,-0.03887533770288178,0.03887533770288178,6,1,0.5844804275401649,1
Logistic_Regression,0,-0.73 < num__age <= 0.10,-0.03394920976941831,0.03394920976941831,7,1,0.5844804275401649,1
Logistic_Regression,0,cat__gender_2 <= 0.00,0.020786842256945007,0.020786842256945007,8,1,0.5844804275401649,1
Logistic_Regression,0,cat__alco_1 <= 0.00,0.015820077030264532,0.015820077030264532,9,1,0.5844804275401649,1
Logistic_Regression,0,-0.09 < num__ap_lo <= -0.04,-0.010083169850151842,0.010083169850151842,10,1,0.5844804275401649,1
Logistic_Regression,1,cat__cholesterol_3 > 0.00,0.21770750240058753,0.21770750240058753,1,1,0.8005576005472778,0
Logistic_Regression,1,num__age <= -0.73,-0.13044003181234032,0.13044003181234032,2,1,0.8005576005472778,0
Logistic_Regression,1,-0.06 < num__ap_hi <= 0.09,0.11180885465417048,0.11180885465417048,3,1,0.8005576005472778,0
Logistic_Regression,1,num__weight > 0.54,0.08104947312804187,0.08104947312804187,4,1,0.8005576005472778,0
Logistic_Regression,1,cat__cholesterol_2 <= 0.00,-0.0663571786586122,0.0663571786586122,5,1,0.8005576005472778,0
Logistic_Regression,1,cat__gluc_3 <= 0.00,0.0619279673153993,0.0619279673153993,6,1,0.8005576005472778,0
Logistic_Regression,1,cat__smoke_1 <= 0.00,0.033323705137758265,0.033323705137758265,7,1,0.8005576005472778,0
Logistic_Regression,1,cat__gluc_2 <= 0.00,-0.026144150957306468,0.026144150957306468,8,1,0.8005576005472778,0
Logistic_Regression,1,cat__alco_1 <= 0.00,0.02073949646492435,0.02073949646492435,9,1,0.8005576005472778,0
Logistic_Regression,1,num__height <= -0.65,0.013143811220444262,0.013143811220444262,10,1,0.8005576005472778,0
Logistic_Regression,2,num__ap_hi <= -0.06,-0.35910779099166174,0.35910779099166174,1,0,0.3145007406307314,0
Logistic_Regression,2,cat__cholesterol_3 <= 0.00,-0.20802250735523356,0.20802250735523356,2,0,0.3145007406307314,0
